Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
1,2023,C,Willson Contreras,31,125,495,428,55,113,27,0,20,67,6,3,51,111,0.264,0.358,0.467,0.826,124,200,12,13,1,2,0,Right,No
2,2023,1B,Paul Goldschmidt,35,154,687,593,89,159,31,0,25,80,11,2,87,161,0.268,0.363,0.447,0.81,120,265,12,3,0,3,6,Right,No
3,2023,2B,Nolan Gorman,23,119,464,406,59,96,17,0,27,76,7,2,53,148,0.236,0.328,0.478,0.805,117,194,5,3,0,2,1,Left,No
4,2023,SS,Paul DeJong,29,81,306,279,38,65,11,0,13,32,4,4,21,87,0.233,0.297,0.412,0.71,92,115,8,5,0,1,0,Right,No
5,2023,3B,Nolan Arenado,32,144,612,560,71,149,26,2,26,93,3,3,41,101,0.266,0.315,0.459,0.774,109,257,21,3,0,8,5,Right,No
6,2023,LF,Tyler O'Neill,28,72,266,238,27,55,14,0,9,21,5,0,28,67,0.231,0.312,0.403,0.715,94,96,5,0,0,0,0,Right,No
7,2023,CF,Lars Nootbaar,25,117,503,426,74,111,23,1,14,46,11,1,72,99,0.261,0.367,0.418,0.784,115,178,7,1,1,3,2,Left,No
8,2023,RF,Jordan Walker,21,117,465,420,51,116,19,2,16,51,7,4,37,104,0.276,0.342,0.445,0.787,114,187,9,6,0,2,0,Right,No
9,2023,DH,Alec Burleson,24,107,347,315,34,77,20,1,8,36,3,1,23,45,0.244,0.3,0.39,0.691,87,123,13,3,1,2,0,Left,No
10,2023,UT,Tommy Edman,28,137,528,479,69,119,25,4,13,47,27,4,35,84,0.248,0.307,0.399,0.705,91,191,9,7,3,4,1,Right,Yes
11,2023,2B,Brendan Donovan,26,95,371,327,48,93,10,1,11,34,5,1,33,53,0.284,0.365,0.422,0.787,115,138,4,9,1,1,2,Left,No
12,2023,OF,Dylan Carlson,24,76,255,219,27,48,8,1,5,27,3,0,26,49,0.219,0.318,0.333,0.651,79,73,4,7,0,3,0,Right,Yes
13,2023,C,Andrew Knizner,28,70,241,224,30,54,11,0,10,31,2,0,12,62,0.241,0.288,0.424,0.712,92,95,8,3,1,1,0,Right,No
14,2023,SS,Masyn Winn,21,37,137,122,8,21,2,0,2,12,2,1,10,26,0.172,0.23,0.238,0.467,29,29,1,0,2,3,0,Right,No
15,2023,OF,Richie Palacios,26,32,102,93,9,24,6,0,6,16,2,0,6,11,0.258,0.307,0.516,0.823,120,48,1,1,1,1,0,Left,No
16,2023,DH,Luken Baker,26,33,99,86,9,18,3,0,2,10,0,0,13,31,0.209,0.313,0.314,0.627,73,27,1,0,0,0,0,Right,No
17,2023,IF,Taylor Motter,33,29,82,76,3,13,3,0,0,2,0,0,5,31,0.171,0.232,0.211,0.442,23,16,0,1,0,0,0,Right,No
18,2023,OF,Juan Yepez,25,28,65,60,5,11,1,0,2,2,0,1,4,20,0.183,0.246,0.3,0.546,49,18,0,1,0,0,0,Right,No
19,2023,IF,José Fermín,24,21,61,51,2,12,1,0,0,4,0,1,6,8,0.235,0.339,0.255,0.594,67,13,1,2,2,0,0,Right,No
20,2023,C,Iván Herrera,23,13,44,37,6,11,2,0,0,4,0,0,5,11,0.297,0.409,0.351,0.76,112,13,1,2,0,0,0,Right,No
21,2023,OF,Óscar Mercado,28,20,32,31,3,9,3,0,0,5,2,1,1,4,0.29,0.313,0.387,0.7,90,12,0,0,0,0,0,Right,No
22,2023,IF,Juniel Querecuto,30,9,21,20,2,2,1,0,0,0,0,0,1,6,0.1,0.143,0.15,0.293,-19,3,0,0,0,0,0,Right,Yes
23,2023,IF,Irving Lopez,28,5,12,11,0,0,0,0,0,1,0,0,0,5,0.0,0.0,0.0,0.0,-100,0,0,0,0,1,0,Left,No
24,2023,DH,Michael Siani,23,5,5,5,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
25,2023,C,Tres Barrera,28,6,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
