Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
1,2023,SP,Miles Mikolas,34,9,13,0.409,4.78,35,35,0,0,0,0,201.1,226,110,107,26,39,0,137,8,0,4,860,91,4.27,1.316,10.1,1.2,1.7,6.1,3.51,Right,No
2,2023,SP,Jordan Montgomery,30,6,9,0.4,3.42,21,21,0,0,0,0,121.0,116,54,46,12,35,0,108,4,0,3,509,127,3.73,1.248,8.6,0.9,2.6,8.0,3.09,Left,No
3,2023,SP,Jack Flaherty,27,7,6,0.538,4.43,20,20,0,0,0,0,109.2,116,56,54,10,54,0,106,8,0,6,485,98,4.2,1.55,9.5,0.8,4.4,8.7,1.96,Right,No
4,2023,SP,Steven Matz,32,4,7,0.364,3.86,25,17,2,0,0,0,105.0,108,48,45,11,32,0,98,3,2,2,449,113,3.75,1.333,9.3,0.9,2.7,8.4,3.06,Left,No
5,2023,SP,Adam Wainwright,41,5,11,0.313,7.4,21,21,0,0,0,0,101.0,151,89,83,20,41,0,55,1,0,1,484,59,5.99,1.901,13.5,1.8,3.7,4.9,1.34,Right,No
6,2023,SP,Dakota Hudson,28,6,3,0.667,4.98,18,12,1,0,0,0,81.1,88,46,45,9,34,0,45,6,0,5,354,88,5.06,1.5,9.7,1.0,3.8,5.0,1.32,Right,No
7,2023,CL,Ryan Helsley,28,3,4,0.429,2.45,33,0,25,0,0,14,36.2,22,11,10,1,17,1,52,1,1,3,146,178,2.25,1.064,5.4,0.2,4.2,12.8,3.06,Right,No
8,2023,RP,Andre Pallante,24,4,1,0.8,4.76,62,0,9,0,0,0,68.0,76,37,36,6,30,0,43,3,1,6,302,92,4.59,1.559,10.1,0.8,4.0,5.7,1.43,Right,No
9,2023,RP,Drew VerHagen,32,5,1,0.833,3.98,60,0,15,0,0,0,61.0,52,30,27,9,26,2,60,9,1,3,268,110,4.93,1.279,7.7,1.3,3.8,8.9,2.31,Right,No
10,2023,RP,Giovanny Gallegos,31,2,4,0.333,4.42,56,0,16,0,0,10,55.0,54,28,27,11,12,0,59,0,1,3,229,99,4.36,1.2,8.8,1.8,2.0,9.7,4.92,Right,No
11,2023,RP,Chris Stratton,32,1,1,0.5,4.19,42,0,19,0,0,1,53.2,45,28,25,4,17,0,59,1,0,4,221,104,3.03,1.155,7.5,0.7,2.9,9.9,3.47,Right,No
12,2023,,Zack Thompson,25,5,7,0.417,4.48,25,9,1,0,0,0,66.1,69,35,33,8,25,0,72,2,0,3,287,97,3.87,1.417,9.4,1.1,3.4,9.8,2.88,Left,No
13,2023,,Matthew Liberatore,23,3,6,0.333,5.25,22,11,3,0,0,0,61.2,66,42,36,5,25,1,46,5,0,4,275,83,4.28,1.476,9.6,0.7,3.6,6.7,1.84,Left,No
14,2023,,Jake Woodford,26,2,3,0.4,6.23,15,8,1,0,0,0,47.2,61,34,33,11,22,0,29,3,0,3,222,70,6.61,1.741,11.5,2.1,4.2,5.5,1.32,Right,No
15,2023,,Jordan Hicks,26,1,6,0.143,3.67,40,0,16,0,0,8,41.2,39,21,17,2,24,0,59,3,0,7,189,119,2.99,1.512,8.4,0.4,5.2,12.7,2.46,Right,No
16,2023,,JoJo Romero,26,4,2,0.667,3.68,27,0,13,0,0,3,36.2,29,17,15,1,10,0,42,1,0,2,147,119,2.22,1.064,7.1,0.2,2.5,10.3,4.2,Left,No
17,2023,,Drew Rom,23,1,4,0.2,8.02,8,8,0,0,0,0,33.2,51,34,30,7,19,0,32,0,0,1,170,55,5.75,2.079,13.6,1.9,5.1,8.6,1.68,Left,No
18,2023,,Génesis Cabrera,26,1,1,0.5,5.06,32,0,10,0,0,0,32.0,32,18,18,6,18,0,38,0,1,0,143,87,5.01,1.563,9.0,1.7,5.1,10.7,2.11,Left,No
19,2023,,Andrew Suárez,30,0,0,0.0,7.16,13,0,6,0,0,0,27.2,33,27,22,7,15,0,17,0,0,2,130,61,6.94,1.735,10.7,2.3,4.9,5.5,1.13,Left,No
20,2023,,Casey Lawrence,35,1,0,1.0,6.59,15,0,7,0,0,0,27.1,32,20,20,7,10,2,20,2,0,0,122,67,6.44,1.537,10.5,2.3,3.3,6.6,2.0,Right,No
21,2023,,John King,28,1,0,1.0,1.45,20,0,1,0,0,0,18.2,19,3,3,1,6,0,10,0,0,0,76,306,3.84,1.339,9.2,0.5,2.9,4.8,1.67,Left,No
22,2023,,James Naile,30,0,0,0.0,8.8,10,0,6,0,0,0,15.1,27,19,15,1,9,0,7,0,0,0,80,50,4.95,2.348,15.8,0.6,5.3,4.1,0.78,Right,No
